name,price,sex,jewel_type,brand,material,color,jewel_weight,rocks,rock_details,dimensions,chain_carat,chain_length,diameter
Βραχιόλι με κύκλους,180,Women,Bracelet,Haritidis,Gold 14ct.,White & Gold,1.8,,,,,,
Σκουλαρίκια κύκλοι,270,Women,Earrings,Haritidis,Gold 14ct.,White & Gold,2.7,,,Length 38mm,,,
Κολιέ κύκλοι,290,Women,Necklaces,Haritidis,Gold 14ct.,White & Gold,2.9,,,,,40.0,
Κολιέ φύλλο,130,Women,Necklaces,Haritidis,Gold 14ct.,Gold,1.4,,,13 x 13 mm,,40.0,
Σκουλαρίκια φύλλο,240,Women,Earrings,Haritidis,Gold 14ct.,Gold,2.4,,,Length 28.5mm,,,
Μενταγιόν για λίρα,90,Unisex,Necklaces,,Gold 14ct.,Gold,1.0,,,,,,23.0
Μενταγιόν για λίρα,185,Women,Necklaces,,Gold 14ct.,Gold,2.3,,,,,,26.0
Κωνσταντινάτο,210,Unisex,Religious jewels,Haritidis,Gold 14ct.,Gold,2.4,,,16.5 x 14 mm,,,
Κωνσταντινάτο,165,Unisex,Religious jewels,Haritidis,Gold 14ct.,Gold,1.8,,,18 x 12.5 mm,,,
Φυλαχτο,110,Unisex,Religious jewels,Haritidis,Gold 14ct.,Gold,1.1,,,,,,15.0
Κωνσταντινάτο,160,Unisex,Religious jewels,Haritidis,Gold 14ct.,Gold,1.7000000000000002,,,12 x 12 mm,,,
Φυλαχτο,155,Unisex,Religious jewels,Haritidis,Gold 14ct.,Gold,1.7000000000000002,,,16 x 14 mm,,,
Σταυρός γυναικείος,200,Women,Cross,Haritidis,Gold 14ct.,Gold,2.1,,,24 x 17 mm,14.0,45.0,
Σταυρός γυναικείος,140,Women,Cross,Haritidis,Gold 14ct.,Gold,1.2,,,26 x 20 mm,14.0,45.0,
Σταυρός ανδρικός,380,Men,Cross,Haritidis,Gold 14ct.,White & Gold,4.1,,,26 x 18 mm,14.0,50.0,
Σταυρός ανδρικός,400,Men,Cross,Haritidis,Gold 14ct.,White & Gold,4.4,,,25.5 x 19 mm,14.0,50.0,
Σταυρός ανδρικός,400,Men,Cross,Haritidis,Gold 14ct.,White & Gold,4.1,,,25.5 x 18 mm,14.0,50.0,
Σταυρός ανδρικός,470,Men,Cross,Haritidis,Gold 14ct.,White & Gold,5.0,,,26 x 19 mm,14.0,50.0,
Σταυρός ανδρικός,380,Men,Cross,Haritidis,Gold 14ct.,White & Gold,3.9,,,25.5 x 18 mm,14.0,50.0,
Σταυρός ανδρικός,360,Men,Cross,Haritidis,Gold 14ct.,White & Gold,3.6,,,25.5 x 17.5 mm,14.0,50.0,
Σταυρός ανδρικός,380,Men,Cross,Haritidis,Gold 14ct.,White & Gold,4.0,,,25.5 x 17.5 mm,14.0,50.0,
Σταυρός ανδρικός,420,Men,Cross,Haritidis,Gold 14ct.,White & Gold,4.2,,,25.5 x 18 mm,14.0,50.0,
Σταυρός ανδρικός,400,Men,Cross,Haritidis,Gold 14ct.,White & Gold,4.1,,,26 x 18 mm,14.0,50.0,
Σταυρός ανδρικός,380,Men,Cross,Haritidis,Gold 14ct.,White & Gold,4.0,,,24 x 18 mm,14.0,50.0,
Σταυρός ανδρικός,380,Men,Cross,Haritidis,Gold 14ct.,White & Gold,4.0,,,24 x 18 mm,14.0,50.0,
Σταυρός ανδρικός,390,Men,Cross,Haritidis,Gold 14ct.,White & Gold,4.1,,,26 x 18 mm,14.0,50.0,
Σταυρός ανδρικός,390,Men,Cross,Haritidis,Gold 14ct.,White & Gold,4.1,,,27.8 x 18.8 mm,14.0,50.0,
Σταυρός ανδρικός,380,Men,Cross,Haritidis,Gold 14ct.,White & Gold,4.0,,,17.7 x 26.8 mm,14.0,50.0,
Σταυρός ανδρικός,350,Men,Cross,Haritidis,Gold 14ct.,White & Gold,3.6,,,27.4 x 18.5 mm,14.0,50.0,
Σταυρός ανδρικός,380,Men,Cross,Haritidis,Gold 14ct.,White & Gold,3.9,,,17.7 x 26.8 mm,14.0,50.0,
Σταυρός ανδρικός,400,Men,Cross,Haritidis,Gold 14ct.,White & Gold,4.3,,,17.7 x 26.8 mm,14.0,50.0,
Κολιέ PDPAOLA La Palette Gold,75,Women,Necklaces,PDPAOLA,Silver,Gold,,,,,,,
Σκουλαρίκια PDPAOLA Halo Gold,89,Women,Earrings,PDPAOLA,Silver,Gold,,,,,,,26.0
Σκουλαρίκια PDPAOLA Ombre Gold,55,Women,Earrings,PDPAOLA,Silver,Gold,,,,,,,12.0
Σκουλαρίκια PDPAOLA Euphoria Gold,69,Women,Earrings,PDPAOLA,Silver,Gold,,,,,,,
Δαχτυλίδι τρίπετρο,95,Women,Ring,Haritidis,Gold 14ct.,White,1.0,,,,,,
Δαχτυλίδι φτερό,105,Women,Ring,Haritidis,Gold 14ct.,White,1.1,,,,,,
Δαχτυλίδι μισόβερο,720,Women,Ring,Haritidis,Gold 18ct.,White,1.6,Diamond,Diamonds 0.23ct,,,,
Δαχτυλίδι μισόβερο,720,Women,Ring,Haritidis,Gold 18ct.,Rose,1.6,Diamond,Diamonds 0.23ct,,,,
Δαχτυλίδι Daniel Wellington Classic Satin White Silver (Μέγεθος 56),45,Women,Ring,Daniel Wellington Jewelry,Stainless Steel,White,,,,Width 6mm,,,
Δαχτυλίδι Daniel Wellington Classic Satin White Silver (Μέγεθος 54),45,Women,Ring,Daniel Wellington Jewelry,Stainless Steel,White,,,,Width 6mm,,,
Δαχτυλίδι Daniel Wellington Classic Satin White Silver (Μέγεθος 52),45,Women,Ring,Daniel Wellington Jewelry,Stainless Steel,White,,,,Width 6mm,,,
Δαχτυλίδι Daniel Wellington Classic Satin White RG (Μέγεθος 58),45,Women,Ring,Daniel Wellington Jewelry,Stainless Steel,Rose,,,,Width 6mm,,,
Δαχτυλίδι Daniel Wellington Classic Satin White RG (Μέγεθος 56),45,Women,Ring,Daniel Wellington Jewelry,Stainless Steel,Rose,,,,Width 6mm,,,
Δαχτυλίδι Daniel Wellington Classic Satin White RG (Μέγεθος 54),45,Women,Ring,Daniel Wellington Jewelry,Stainless Steel,Rose,,,,Width 6mm,,,
Δαχτυλίδι Daniel Wellington Classic Desert Sand (Μέγεθος 56),45,Women,Ring,Daniel Wellington Jewelry,Stainless Steel,Rose,,,,Width 6mm,,,
