name,price,sex,jewel_type,brand,material,color,jewel_weight,rocks,rock_details,dimensions,chain_carat,chain_length,diameter
Σετ Κολιέ & Σκουλαρίκια Gloria Hope Silver / Pearl,75,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,,,,
Σετ Κολιέ & Σκουλαρίκια Gloria Hope Silver / Pearl,109,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,,,,
Σετ Κολιέ & Σκουλαρίκια Gloria Hope Silver / Pearl,99,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,,,,
Σετ Κολιέ & Σκουλαρίκια Gloria Hope Silver,69,Women,Necklaces,Gloria Hope,Silver,White,,,,,,,
Κολιέ δάκρυ Gloria Hope Silver,69,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,Length: 6cm,,,
Σκουλαρίκια Gloria Hope Silver,169,Women,Earrings,Gloria Hope,Metal Alloy,White,,,,,,,
Βραχιόλι Gloria Hope Silver,89,Women,Bracelet,Gloria Hope,Metal Alloy,White,,,,,,,
Δαχτυλίδι με σμαράγδι,1650,Women,Ring,Haritidis,Gold 18ct.,White,3.8,"Diamond, Emerald",Recrystallized Emerald 2.93ct & Diamond 0.56ct,,,,
Μονόπετρο Δαχτυλίδι,1200,Women,Ring,Haritidis,Gold 18ct.,Gold,2.4,Diamond,Kent.Dress 0.11ct & Other Diamonds 0.26ct,,,,
Δαχτυλίδι μισόβερο,1180,Women,Ring,Haritidis,Gold 18ct.,White,2.0,Diamond,Diamonds 0.45ct,,,,
Δαχτυλίδι μισόβερο,980,Women,Ring,Haritidis,Gold 18ct.,White,2.3,Diamond,Diamonds 0.24ct,,,,
Δαχτυλίδι μισόβερο,1850,Women,Ring,Haritidis,Gold 18ct.,White,2.8,Diamond,Diamonds 0.66ct,,,,
Δαχτυλίδι μισόβερο,2200,Women,Ring,Haritidis,Gold 18ct.,White,3.9,Diamond,Diamonds 0.80ct,,,,
Μονόπετρο Δαχτυλίδι,1050,Women,Ring,Haritidis,Gold 18ct.,White,2.9,Diamond,Diamond 0.20ct,,,,
Μονόπετρο Δαχτυλίδι,1030,Women,Ring,Haritidis,Gold 18ct.,White,2.6,Diamond,Diamond 0.34ct,,,,
Δαχτυλίδι με τοπάζι,640,Women,Ring,Haritidis,Gold 18ct.,White,1.7000000000000002,"Diamond, Topaz",Topaz 0.76ct & Diamond 0.14ct,,,,
Δαχτυλίδι με σμαράγδι,800,Women,Ring,Haritidis,Gold 18ct.,Gold,2.5,"Diamond, Emerald",Emerald 0.39ct & Diamond 0.13ct,,,,
Δαχτυλίδι με σμαράγδι,700,Women,Ring,Haritidis,Gold 18ct.,Gold,1.6,"Diamond, Emerald",Emerald 0.19ct & Diamond 0.11ct,,,,
Δαχτυλίδι με σμαράγδι,2000,Women,Ring,Haritidis,Gold 18ct.,Gold,3.0,"Diamond, Emerald",Emerald 1.04ct & Diamond 0.43ct,,,,
Δαχτυλίδι με ζαφείρι,950,Women,Ring,Haritidis,Gold 18ct.,White,1.8,"Diamond, Sapphire",Sapphire 0.85ct & Diamonds 0.14ct,,,,
Δαχτυλίδι με λευκό τοπάζι,1000,Women,Ring,Haritidis,Gold 18ct.,White,3.0,"Diamond, Topaz",White Topaz 1.36ct & Diamond 0.21ct,,,,
Δαχτυλίδι με ζαφείρι,1350,Women,Ring,Haritidis,Gold 18ct.,White,3.3,"Diamond, Sapphire",Sapphire 1.03ct & Diamond 0.13ct,,,,
Δαχτυλίδι μισόβερο,1340,Women,Ring,Haritidis,Gold 18ct.,Gold,2.8,Diamond,Diamonds 0.48ct,,,,
Σκουλαρίκια δάκρυ Gloria Hope Silver / Pearl,69,Women,Earrings,Gloria Hope,Metal Alloy,White,,,,,,,
Σκουλαρίκια δάκρυ Gloria Hope Silver,99,Women,Earrings,Gloria Hope,Metal Alloy,White,,,,,,,
Σκουλαρίκια Gloria Hope Silver,69,Women,Earrings,Gloria Hope,Metal Alloy,White,,,,,,,
Σετ Κολιέ & Σκουλαρίκια Gloria Hope Silver,139,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,,,,
Σκουλαρίκια δάκρυ Gloria Hope Silver,115,Women,Earrings,Gloria Hope,Metal Alloy,White,,,,,,,
Σετ Κολιέ & Σκουλαρίκια Gloria Hope Silver,109,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,,,,
Σετ Κολιέ & Σκουλαρίκια Gloria Hope Silver,115,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,,,,
Σετ Κολιέ & Σκουλαρίκια Gloria Hope Silver,109,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,,,,
Σκουλαρίκια Gloria Hope Silver,59,Women,Earrings,Gloria Hope,Metal Alloy,White,,,,,,,
Κολιέ δάκρυ Gloria Hope Silver,79,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,,,,
Σετ Κολιέ & Σκουλαρίκια Gloria Hope Silver / Pearl,79,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,,,,
Κολιέ δάκρυ Gloria Hope Rose Gold,100,Women,Necklaces,Gloria Hope,Metal Alloy,Rose,,,,,,,
Βραχιόλι Tommy Hilfiger,69,Men,Bracelet,Tommy Hilfiger,Stainless Steel,,,,,,,,
Βραχιόλι Tommy Hilfiger,49,Unisex,Bracelet,Tommy Hilfiger,Stainless Steel,White,,,,,,,
Μανικετόκουμπα Tommy Hilfiger,49,Men,Cuff links,Tommy Hilfiger,Stainless Steel,,,,,,,,
Μανικετόκουμπα Tommy Hilfiger,59,Men,Cuff links,Tommy Hilfiger,Stainless Steel,Gold,,,,,,,
Σκουλαρίκια Tommy Hilfiger,69,Women,Earrings,Tommy Hilfiger,Stainless Steel,Gold,,,,,,,
Σκουλαρίκια Κρίκοι PDPAOLA Medium Cloud Gold,59,Women,Earrings,PDPAOLA,Silver,Gold,,,,,,,14.0
Σκουλαρίκια Κρίκοι PDPAOLA Mini Cloud Gold,55,Women,Earrings,PDPAOLA,Silver,Gold,,,,,,,14.0
Σκουλαρίκια PDPAOLA Musketeer Gold,51,Women,Earrings,PDPAOLA,Silver,Gold,,,,,,,
Σκουλαρίκια Κρίκοι PDPAOLA Supreme Cloud Gold,65,Women,Earrings,PDPAOLA,Silver,Gold,,,,,,,25.0
Σκουλαρίκια με διαμάντια,1340,Women,Earrings,Haritidis,Gold 18ct.,Gold,2.2,Diamond,Diamond central 0.20ct & Diamondα 0.22ct,,,,7.0
Κολιέ με σμαράγδι,1140,Women,Necklaces,Haritidis,Gold 18ct.,White,2.3,"Diamond, Emerald",Emerald 0.53ct & Diamond 0.27ct,11.1 x 9.6 mm,18.0,40.0,
Κολιέ με ζαφείρι,1090,Women,Necklaces,Haritidis,Gold 18ct.,White,2.5,"Diamond, Sapphire",Sapphire 0.21ct & Diamond 0.31ct,12.3 x 9.3 mm,18.0,45.0,
Κολιέ με ζαφείρι,1890,Women,Necklaces,Haritidis,Gold 18ct.,White,2.2,"Diamond, Sapphire",Sapphire 1.02ct & Diamond 0.49ct,12 x 10.2 mm,18.0,45.0,
Κολιέ με τοπάζι,920,Women,Necklaces,Haritidis,Gold 18ct.,White,2.6,"Diamond, Topaz",White Topaz 1.24ct & Diamonds 0.26ct,12 x 9.8 mm,18.0,45.0,
Κολιέ με διαμάντια,840,Women,Necklaces,Haritidis,Gold 18ct.,Gold,2.0,Diamond,Central Diamond 0.10ct & Rest Diamondα 0.11ct,,18.0,40.0,8.0
Κολιέ με τοπάζι,780,Women,Necklaces,Haritidis,Gold 18ct.,White,2.4,"Diamond, Topaz",London Blue Topaz 2.01ct & Diamonds 0.13ct,10.5 x 8.3 mm,18.0,40.0,
Σκουλαρίκια με μπλε τοπάζι,1190,Women,Earrings,Haritidis,Gold 18ct.,White,3.0,"Diamond, Blue Topaz",London Blue Topaz 3.76ct & Diamond 0.25ct,10.4 x 8.4 mm,,,
Σκουλαρίκια με τοπάζι,1790,Women,Earrings,Haritidis,Gold 18ct.,White,5.1,"Diamond, Topaz",White Topaz 2.43ct & Diamonds 0.46ct,11.8 x 9.8 mm,,,
Σκουλαρίκια με ζαφείρι,1750,Women,Earrings,Haritidis,Gold 18ct.,White,2.9,"Diamond, Sapphire",Sapphire 0.53ct & Diamonds 0.47ct,12.2 x 9.3 mm,,,
Δαχτυλίδι με σμαράγδι,1150,Women,Ring,Haritidis,Gold 18ct.,White,2.6,"Diamond, Emerald",Emerald 0.47ct & Diamond 0.27ct,,,,
Δαχτυλίδι με τανζανίτη,730,Women,Ring,Haritidis,Gold 18ct.,White,2.4,"Diamond, tanzanite",Tanzanite 0.39ct & Diamond 0.13ct,,,,
Δαχτυλίδι με τοπάζι,900,Women,Ring,Haritidis,Gold 18ct.,White,2.4,"Diamond, Topaz",London Blue Topaz 2.17ct & Diamond 0.20ct,,,,
Δαχτυλίδι με μοργκανίτη,1500,Women,Ring,Haritidis,Gold 18ct.,Rose,3.5,"Diamond, Morganite",Moronganic 1.94ct & Diamond 0.27ct,,,,
Δαχτυλίδι με ζαφείρι,1250,Women,Ring,Haritidis,Gold 18ct.,White,3.0,"Diamond, Sapphire",Sapphire 0.53ct & Diamond 0.22ct,,,,
Δαχτυλίδι μισόβερο,750,Women,Ring,Haritidis,Gold 18ct.,Gold,1.8,Diamond,Diamonds 0.23ct,,,,
Κολιέ σταυρός,115,Women,Necklaces,Haritidis,Gold 14ct.,Gold,1.1,,,3.8 x 3.8 mm,,38.0,
Κωνσταντινάτο,85,Children,Religious jewels,Haritidis,Gold 14ct.,Gold,0.8,,,,,,19.0
Σταυρός με διαμάντια,620,Women,Cross,Haritidis,Gold 18ct.,Rose,3.0,Diamond,Diamonds 0.054ct,27.8 x 18 mm,,45.0,
Σταυρός με διαμάντια,590,Women,Cross,Haritidis,Gold 18ct.,White,2.9,Diamond,Diamonds 0.054ct,28 x 18.5 mm,,42.0,
Μαργαριταρένιο δαχτυλίδι,260,Women,Ring,Haritidis,Gold 14ct.,Gold,2.7,Pearl,Pearl 7-7.5mm,,,,
Δαχτυλίδι γυναικείο,200,Women,Ring,Haritidis,Gold 14ct.,Gold,2.1,,,,,,
Δαχτυλίδι γυναικείο,195,Women,Ring,Haritidis,Gold 14ct.,Gold,2.1,,,,,,
Δαχτυλίδι με καρδιές,225,Women,Ring,Haritidis,Gold 14ct.,Gold,2.4,,,,,,
Δαχτυλίδι δεσμός,150,Women,Ring,Haritidis,Gold 14ct.,Gold,1.6,,,,,,
Δαχτυλίδι σεβαλιέ,280,Women,Ring,Haritidis,Gold 14ct.,Rose,3.1,,,,,,
Δαχτυλίδι σεβαλιέ,255,Women,Ring,Haritidis,Gold 14ct.,Gold,2.8,,,,,,
Δαχτυλίδι μισόβερο,240,Women,Ring,Haritidis,Gold 14ct.,Gold,2.6,,,,,,
Βραχιόλι με φυλαχτά,135,Women,Bracelet,Haritidis,Gold 14ct.,Gold,1.4,,,Length 17.5cm,,,
Βραχιόλι παιδικό,115,Children,Bracelet,Haritidis,Gold 14ct.,Gold,1.3,,,Length chain: 18.5 cm,,,
Βραχιόλι παιδικό,115,Children,Bracelet,Haritidis,Gold 14ct.,Gold,1.4,,,Length chain: 18.5 cm,,,
Ταυτότητα,160,Children,Jewels ID,Haritidis,Gold 14ct.,Gold,1.7000000000000002,,,Length 17.5 cm,,,
Ταυτότητα,180,Children,Jewels ID,Haritidis,Gold 14ct.,Gold,1.9,,,Length 18 cm,,,
Παιδική παραμάνα,90,Children,Safety pins,Haritidis,Gold 14ct.,Gold,1.0,,,Length of pin 19.5 mm,,,
Παιδική παραμάνα,95,Children,Safety pins,Haritidis,Gold 14ct.,Gold,1.0,,,Length of pin 19 mm,,,
Παιδική παραμάνα,95,Children,Safety pins,Haritidis,Gold 14ct.,Gold,1.0,,,Length of pin 19 mm,,,
Παιδική παραμάνα,95,Children,Safety pins,Haritidis,Gold 14ct.,Gold,1.0,,,Length of pin 18.5 mm,,,
Σταυρός γυναικείος,165,Women,Cross,Haritidis,Gold 14ct.,Gold,1.3,,,22 x 15 mm,14.0,45.0,
Σταυρός γυναικείος,45,Women,Cross,Haritidis,Gold 14ct.,Gold,0.5,,,9.5 x 7.5 mm,14.0,45.0,
Σταυρός γυναικείος,45,Women,Cross,Haritidis,Gold 14ct.,White,0.5,,,9.5 x 7.5 mm,14.0,45.0,
Βραχιόλι ριβιέρα,440,Women,Bracelet,Haritidis,Gold 14ct.,Gold,5.3,,,,,,
Βραχιόλι ριβιέρα,325,Women,Bracelet,Haritidis,Gold 14ct.,Gold,3.9,,,,,,
Βραχιόλι ριβιέρα,325,Women,Bracelet,Haritidis,Gold 14ct.,Rose,4.0,,,,,,
Δαχτυλίδι ροζέτα,165,Women,Ring,Haritidis,Gold 14ct.,Rose,2.0,,,,,,
Δαχτυλίδι ροζέτα,165,Women,Ring,Haritidis,Gold 14ct.,Gold,1.9,,,,,,
Κολιέ γυναικείο,225,Women,Necklaces,Haritidis,Gold 14ct.,Gold,2.3,,,,,46.0,
Φυλαχτό,75,Children,Religious jewels,Haritidis,Gold 14ct.,Gold,0.8,,,18.6 x 15.8 mm,,,
Κολιέ γυναικείο,210,Women,Necklaces,Haritidis,Gold 14ct.,Gold,1.8,,,Diameter of circles: 4.95mm & 3.25,,45.0,9.0
Κολιέ κύκλος,165,Women,Necklaces,Haritidis,Gold 14ct.,Rose,1.7000000000000002,,,,,45.0,9.0
Κολιέ σταυρός,105,Women,Necklaces,Haritidis,Gold 14ct.,Gold,1.0,,,3.49mm x 6.25mm,,45.0,
Κολιέ γυναικείο,195,Women,Necklaces,Haritidis,Gold 14ct.,Gold,1.9,,,,,45.0,
Βραχιόλι mama,130,Women,Bracelet,Haritidis,Gold 14ct.,White,1.2,,,,,,
Βραχιόλι ριβιέρα,300,Women,Bracelet,Haritidis,Gold 14ct.,White,2.8,,,,,,
Βραχιόλι Rosso Amante,94,Men,Bracelet,Rosso Amante,Stainless Steel,White,,,,,,,
Βραχιόλι Rosso Amante,64,Men,Bracelet,Rosso Amante,Stainless Steel,White,,,,,,,
Βραχιόλι Rosso Amante.,79,Men,Bracelet,Rosso Amante,Stainless Steel,White,,,,,,,
Κολιέ PDPAOLA Flame Silver,61,Women,Necklaces,PDPAOLA,Silver,White,,,,3.2 x 0.5 cm,,44.0,
Μάρτης με χαρταετό,49,Unisex,Bracelet,Haritidis,Gold 9ct.,Gold,0.5,,,,,,
Μάρτης με μάτι - χελιδόνι,49,Unisex,Bracelet,Haritidis,Gold 9ct.,Gold,0.5,,,,,,
Μάρτης με χελιδόνι,49,Unisex,Bracelet,Haritidis,Gold 9ct.,Gold,0.5,,,,,,
Σταυρός με διαμάντια,350,Women,Cross,Haritidis,Gold 18ct.,Rose,1.3,Diamond,Diamond 0.04ct,12 x 7 mm,,40.0,
Κολιέ με ρουμπίνι,600,Women,Necklaces,Haritidis,Gold 18ct.,White,2.0,"Diamond, Rubin",Ruby 0.39ct & Diamonds 0.08ct,8.5 x 6 mm,,40.0,
Κολιέ με ζαφείρι,500,Women,Necklaces,Haritidis,Gold 18ct.,White,1.7000000000000002,"Diamond, Sapphire",Sapphire 0.33ct & Diamond 0.06ct,8.4 x 5.9 mm,18.0,40.0,
Κολιέ με ζαφείρι,620,Women,Necklaces,Haritidis,Gold 18ct.,White,1.7000000000000002,"Diamond, Sapphire",Sapphire 0.17ct & Diamond 0.11ct,,18.0,40.0,8.0
Κολιέ με ζαφείρι,820,Women,Necklaces,Haritidis,Gold 18ct.,White,2.0,"Diamond, Sapphire",Sapphire 0.48ct & Diamond 0.17ct,9.8 x 7.9 mm,18.0,40.0,
Κολιέ με ρουμπίνι,530,Women,Necklaces,Haritidis,Gold 18ct.,Rose,1.9,"Diamond, Rubin",Ruby 0.13ct & Diamonds 0.10ct,,,40.0,8.0
Κολιέ με σμαράγδι,590,Women,Necklaces,Haritidis,Gold 18ct.,Gold,1.6,"Diamond, Emerald",Emerald 0.14ct & Diamond 0.10ct,6.3 x 6.3 mm,18.0,40.0,
Κολιέ με τοπάζι,520,Women,Necklaces,Haritidis,Gold 18ct.,Gold,1.9,"Diamond, Topaz",Blue Topaz 0.82ct & Diamond 0.07ct,9.4 x 7 mm,18.0,40.0,
Κολιέ με μοργκανίτη,530,Women,Necklaces,Haritidis,Gold 18ct.,Rose,1.7000000000000002,"Diamond, Morganite",Moronganic 0.41ct & Diamond 0.07ct,8.2 x 6.3 mm,18.0,40.0,
Κολιέ με σιτρίνη,520,Women,Necklaces,Haritidis,Gold 18ct.,Gold,1.9,"Diamond, Citrine",Sitrin 0.60ct & Diamond 0.07ct,9.4 x 7 mm,18.0,40.0,
Κολιέ με αμέθυστο,640,Women,Necklaces,Haritidis,Gold 18ct.,White,2.8,"Amethyst, Diamond",Amethyst 0.38ct & Diamond 0.13ct,8.6 x 6.4 mm,18.0,43.0,
Κολιέ με τοπάζι,530,Women,Necklaces,Haritidis,Gold 18ct.,White,1.9,"Diamond, Topaz",London Blue Topaz 0.76ct & Diamond 0.06ct,9.1 x 7.1 mm,18.0,40.0,
Κολιέ με τοπάζι,580,Women,Necklaces,Haritidis,Gold 18ct.,White,2.4,"Diamond, Topaz",Blue Topaz 0.33ct & Diamond 0.08ct,,18.0,43.0,6.0
Κολιέ με ζαφείρι,950,Women,Necklaces,Haritidis,Gold 18ct.,White,2.1,"Diamond, Sapphire",White Sapphire 1.34ct & Diamonds 0.08ct,9.9 x 7.8 mm,18.0,40.0,
Βραχιόλι Very Gavello Tattoo,290,Unisex,Bracelet,Very Gavello,Gold 9ct.,White,,,,Pendant 11 x 7mm,,,
Σκουλαρίκια Very Gavello Angel,540,Women,Earrings,Very Gavello,Gold 9ct.,Rose,,,,13 x 5.3 mm,,,
Δαχτυλίδι Very Gavello Viper Pave Diamonds,1210,Unisex,Ring,Very Gavello,Gold 9ct.,Rose,,,,,,,
Κολιέ Very Gavello Yael,225,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,12 x 10 mm,,,
Κολιέ Very Gavello Triangle,155,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,9 x 8 mm,,,
Σταυρός Very Gavello Tattoo,225,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,11 x 7mm,,,
Σταυρός Very Gavello Tattoo,225,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,11 x 7mm,,,
Σταυρός Very Gavello Tattoo,225,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,11 x 7mm,,,
Σταυρός Very Gavello Tattoo,320,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,14 x 9mm,,,
Σταυρός Very Gavello Tattoo,320,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,14 x 9mm,,,
Σταυρός Very Gavello Tattoo,320,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,14 x 9mm,,,
Σταυρός Very Gavello Tattoo,330,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,14 x 9mm,,,
Σταυρός Very Gavello Tattoo,330,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,14 x 9mm,,,
Σταυρός Very Gavello Tattoo Pave,805,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,19.4 x 13 mm,,,
Σταυρός Very Gavello Tattoo,475,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,15.5 x 10 mm,,,
Σταυρός Very Gavello Tattoo,475,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,15.5 x 10 mm,,,
Σταυρός Very Gavello Tattoo,475,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,15.5 x 10 mm,,,
Κολιέ Very Gavello Stella,200,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,8 x 8mm,,,
Σταυρός Very Gavello Tattoo,475,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,15.5 x 10 mm,,,
Σταυρός Very Gavello Spirit,275,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,20 x 12 mm,,,
Σταυρός Very Gavello Spirit,410,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,27 x 17 mm,,,
Κολιέ Very Gavello Open Heart,200,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,10 x 9.5mm,,,
Κολιέ Very Gavello Matix Heart Multi,230,Women,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,9 x 8mm,,,
Κολιέ Very Gavello Matix Heart Multi,340,Women,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,9 x 8mm,,,
Κολιέ Very Gavello Lucky,225,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,13 x 10mm,,,
Κολιέ Very Gavello Girl,200,Women,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,11 x 9mm,,,
Σταυρός Very Gavello Spark,225,Women,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,10 x 8 mm,,,
Σταυρός Very Gavello Spark,450,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,15 x 10 mm,,,
Κολιέ Very Gavello Boy,200,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,11 x 9mm,,,
Σταυρός Very Gavello Bubble Cross,225,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,12 x 9.5mm,,,
Σταυρός Very Gavello Bubble Cross,225,Women,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,12 x 9.5mm,,,
Σταυρός Very Gavello Bubble Cross,225,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,12 x 9.5mm,,,
Βραχιόλι Very Gavello Matix-Tattoo,680,Unisex,Necklaces,Very Gavello,Gold 9ct.,Rose,,,,,,,
Μονόπετρο Δαχτυλίδι,820,Women,Ring,Haritidis,Gold 18ct.,White,3.4,Diamond,Diamond 0.13ct,,,,
Μονόπετρο Δαχτυλίδι,860,Women,Ring,Haritidis,Gold 18ct.,White,1.7000000000000002,Diamond,Diamond 0.18ct,,,,
Δαχτυλίδι μισόβερο,520,Women,Ring,Haritidis,Gold 18ct.,White,1.8,Diamond,Diamonds 0.09ct,,,,
Μονόπετρο Δαχτυλίδι,800,Women,Ring,Haritidis,Gold 18ct.,White,1.8,Diamond,Diamond 0.18ct,,,,
Σκουλαρίκια με ρουμπίνι,700,Women,Earrings,Haritidis,Gold 18ct.,Rose,2.1,"Diamond, Rubin",Ruby 0.24ct & Diamond 0.20ct,,,,8.0
Σκουλαρίκια με ζαφείρι,980,Women,Earrings,Haritidis,Gold 18ct.,White,2.0,"Diamond, Sapphire",Sapphire 0.33ct & Diamond 0.22ct,,,,8.0
Σκουλαρίκια με σμαράγδι,970,Women,Earrings,Haritidis,Gold 18ct.,Gold,1.7000000000000002,"Diamond, Emerald",Emerald 0.48ct & Diamonds 0.21ct,6.3 x 6.3 mm,,,
Σκουλαρίκια με ζαφείρι,1120,Women,Earrings,Haritidis,Gold 18ct.,White,2.2,"Diamond, Sapphire",Sapphire 0.76ct & Diamond 0.34ct,8.9 x 7.9 mm,,,
Σκουλαρίκια με ζαφείρι,760,Women,Earrings,Haritidis,Gold 18ct.,White,1.8,"Diamond, Sapphire",Sapphire 0.53ct & Diamonds 0.12ct,8.4 x 5.9 mm,,,
Σκουλαρίκια με τοπάζι,700,Women,Earrings,Haritidis,Gold 18ct.,Gold,2.0,"Diamond, Topaz",Blue Topaz 1.60ct & Diamonds 0.14ct,9.2 x 7 mm,,,
Σκουλαρίκια με μοργκανίτη,790,Women,Earrings,Haritidis,Gold 18ct.,Rose,1.7000000000000002,"Diamond, Morganite",Moronganic 0.77ct & Diamonds 0.14ct,8.2 x 6.2 mm,,,
Σκουλαρίκια με σιτρίνη,750,Women,Earrings,Haritidis,Gold 18ct.,Gold,2.0,"Diamond, Citrine",Sitrin 1.24ct & Diamonds 0.14ct,9.2 x 7.1 mm,,,
Σκουλαρίκια με αμέθυστο,920,Women,Earrings,Haritidis,Gold 18ct.,White,2.8,"Amethyst, Diamond",Amethyst 0.72ct & Diamonds 0.22ct,8.5 x 6.4 mm,,,
Σκουλαρίκια με τοπάζι,640,Women,Earrings,Haritidis,Gold 18ct.,White,1.8,"Diamond, Topaz",Blue Topaz 0.63ct & Diamonds 0.11ct,,,,6.0
Σκουλαρίκια με ζαφείρι,1480,Women,Earrings,Haritidis,Gold 18ct.,White,2.2,"Diamond, Sapphire",White Sapphire 2.42ct & Diamonds 0.15ct,9.8 x 7.9 mm,,,
Δαχτυλίδι με ρουμπίνι,860,Women,Ring,Haritidis,Gold 18ct.,White,2.4,"Diamond, Rubin",Ruby 0.41ct & Diamonds 0.19ct,,,,
Δαχτυλίδι μισόβερο,520,Women,Ring,Haritidis,Gold 18ct.,Gold,1.3,Diamond,Diamonds 0.16ct,,,,
Δαχτυλίδι μισόβερο,420,Women,Ring,Haritidis,Gold 18ct.,White,1.1,Diamond,Diamonds 0.09ct,,,,
Μονόπετρο Δαχτυλίδι,540,Women,Ring,Haritidis,Gold 18ct.,White,2.1,Diamond,Diamond 0.10ct,,,,
Δαχτυλίδι με ζαφείρι,990,Women,Ring,Haritidis,Gold 18ct.,White,1.8,"Diamond, Sapphire",White Sapphire 1.34ct & Diamond 0.12ct,,,,
Δαχτυλίδι με τοπάζι,620,Women,Ring,Haritidis,Gold 18ct.,White,2.3,"Diamond, Topaz",Blue Topaz 0.36ct & Diamonds 0.11ct,,,,
Μονόπετρο Δαχτυλίδι,740,Women,Ring,Haritidis,Gold 18ct.,White,2.9,Diamond,Diamond 0.14ct,,,,
Μονόπετρο Δαχτυλίδι,980,Women,Ring,Haritidis,Gold 18ct.,White,2.4,Diamond,Diamond 0.19ct,,,,
Δαχτυλίδι με σμαράγδι,660,Women,Ring,Haritidis,Gold 18ct.,Gold,1.3,"Diamond, Emerald",Emerald 0.37ct & Diamonds 0.12ct,,,,
Δαχτυλίδι με σμαράγδι,800,Women,Ring,Haritidis,Gold 18ct.,Gold,2.0,"Diamond, Emerald",Emerald 0.41ct & Diamonds 0.13ct,,,,
Δαχτυλίδι με ζαφείρι,900,Women,Ring,Haritidis,Gold 18ct.,White,2.0,"Diamond, Sapphire",Sapphire 0.71ct & Diamonds 0.13ct,,,,
Δαχτυλίδι με ζαφείρι,640,Women,Ring,Haritidis,Gold 18ct.,White,1.3,"Diamond, Sapphire",Sapphire 0.37ct & Diamonds 0.12ct,,,,
Δαχτυλίδι με ρουμπίνι,880,Women,Ring,Haritidis,Gold 18ct.,Rose,2.4,"Diamond, Rubin",Ruby 0.17ct & Diamond 0.27ct,,,,
Δαχτυλίδι με σμαράγδι,800,Women,Ring,Haritidis,Gold 18ct.,Gold,1.8,"Diamond, Emerald",Emerald 0.25ct & Diamonds 0.18ct,,,,
Δαχτυλίδι με τοπάζι,560,Women,Ring,Haritidis,Gold 18ct.,Gold,1.5,"Diamond, Topaz",Blue Topaz 0.84ct & Diamond 0.12ct,,,,
Δαχτυλίδι με σιτρίνη,680,Women,Ring,Haritidis,Gold 18ct.,Gold,1.8,"Diamond, Citrine",Sitrin 0.63ct & Diamond 0.17ct,,,,
Βραχιόλι Ania Haie Midnight Fringe Gold,49,Women,Bracelet,Ania Haie,Silver,Gold,,,,Length: 16.5 - 20 cm,,,
Δαχτυλίδι μισόβερο,740,Women,Ring,Haritidis,Gold 18ct.,Rose,1.9,Diamond,Diamonds 0.23ct,,,,
Δαχτυλίδι μισόβερο,740,Women,Ring,Haritidis,Gold 18ct.,Gold,1.9,Diamond,Diamonds 0.23ct,,,,
Δαχτυλίδι μισόβερο,500,Women,Ring,Haritidis,Gold 18ct.,White,1.3,Diamond,Diamonds 0.16ct,,,,
